Generation,Highest Fp,Average Fp,Iteration,Fp
109,4.11578E+11,3.68201E+11,7.447761194,1.05886E+11
110,4.11578E+11,3.69604E+11,7.507462687,1.11198E+11
111,4.4781E+11,3.60521E+11,7.567164179,1.0472E+11
112,4.4781E+11,2.90734E+11,7.626865672,1.11054E+11
113,4.4781E+11,1.08329E+11,7.686567164,1.23452E+11
114,4.4781E+11,67171474746,7.746268657,1.29908E+11
115,4.85615E+11,3.72601E+11,7.805970149,1.15481E+11
116,4.85615E+11,2.54949E+11,7.865671642,1.11054E+11
117,4.85615E+11,4.08415E+11,7.925373134,1.0472E+11
118,4.86827E+11,4.25023E+11,7.985074627,98634234937
119,4.86827E+11,4.35107E+11,8.044776119,1.15481E+11
120,4.86827E+11,4.85687E+11,8.104477612,84385128866
121,4.86827E+11,4.51945E+11,8.164179104,1.11054E+11
122,4.86827E+11,4.33284E+11,8.223880597,1.31049E+11
123,4.86827E+11,3.69708E+11,8.28358209,1.06149E+11
124,4.86827E+11,4.21308E+11,8.343283582,1.05885E+11
125,4.86827E+11,4.26151E+11,8.402985075,1.15627E+11
126,4.86827E+11,4.81406E+11,8.462686567,1.38475E+11
127,4.86827E+11,4.24808E+11,8.52238806,1.30909E+11
128,4.86827E+11,4.50889E+11,8.582089552,1.34001E+11
129,4.86827E+11,2.61986E+11,8.641791045,96301794397
130,4.86827E+11,1.32048E+11,8.701492537,1.30014E+11
131,5.20849E+11,3.64499E+11,8.76119403,1.34424E+11
132,5.20849E+11,4.3562E+11,8.820895522,1.15481E+11
133,5.20852E+11,3.71254E+11,8.880597015,1.14374E+11
134,5.20852E+11,2.18563E+11,8.940298507,1.19265E+11
135,5.38934E+11,3.32929E+11,9,1.05176E+11
136,5.38934E+11,3.88533E+11,9.059701493,1.23452E+11
137,5.38934E+11,2.71381E+11,9.119402985,1.1548E+11
138,5.38934E+11,1.80364E+11,9.179104478,1.01108E+11
139,5.38934E+11,1.52496E+11,9.23880597,96321989754
140,5.38934E+11,3.16849E+11,9.298507463,1.3035E+11
141,5.38934E+11,3.13915E+11,9.358208955,1.38475E+11
142,5.38934E+11,3.01617E+11,9.417910448,1.30014E+11
143,5.40448E+11,3.9779E+11,9.47761194,1.31914E+11
144,5.40448E+11,4.83287E+11,9.537313433,1.38475E+11
145,5.40448E+11,3.8931E+11,9.597014925,1.30909E+11
146,5.40448E+11,2.3458E+11,9.656716418,1.14374E+11
147,5.40448E+11,3.23321E+11,9.71641791,1.37718E+11
148,5.40448E+11,2.60116E+11,9.776119403,1.28449E+11
149,5.40448E+11,3.70523E+11,9.835820896,1.31049E+11
150,5.40448E+11,3.74931E+11,9.895522388,1.05361E+11
151,5.40448E+11,3.49733E+11,9.955223881,1.29908E+11
