Generation,Fcalc,Qfactor,Vm
4.104477612,1.450004,28543.38682,5.52E-07
4.164179104,1.443662,35239.46384,4.13E-07
4.223880597,1.450007,31249.30664,4.51E-07
4.28358209,1.455727,31436.38726,3.96E-07
4.343283582,1.449999,32102.34084,4.87E-07
4.402985075,1.45,35685.67582,4.12E-07
4.462686567,1.449997,37372.11515,3.65E-07
4.52238806,1.45,31906.62018,4.10E-07
4.582089552,1.445488,34850.27068,3.95E-07
4.641791045,1.449997,35008.97847,3.71E-07
4.701492537,1.45,31018.90516,5.35E-07
4.76119403,1.449989,30373.37919,4.10E-07
4.820895522,1.449999,31554.12268,4.89E-07
4.880597015,1.45,32115.46953,4.28E-07
4.940298507,1.45,35884.66612,4.07E-07
5,1.449341,39196.37074,3.53E-07
5.059701493,1.450004,32777.2984,3.40E-07
5.119402985,1.449999,33644.39538,4.07E-07
5.179104478,1.450011,35009.13969,3.71E-07
5.23880597,1.45,31281.6922,4.11E-07
5.298507463,1.449983,31125.52631,5.06E-07
5.358208955,1.450019,28983.61188,5.90E-07
5.417910448,1.449996,35307.00756,3.87E-07
5.47761194,1.45,37372.1576,3.65E-07
5.537313433,1.449998,32585.12665,3.99E-07
5.597014925,1.453523,35656.13828,3.78E-07
5.656716418,1.458975,33769.46971,4.40E-07
5.71641791,1.450023,32075.50227,4.71E-07
5.776119403,1.45,38491.29968,3.33E-07
5.835820896,1.449999,35322.42177,4.01E-07
5.895522388,1.445011,33240.49406,4.38E-07
5.955223881,1.45,35009.0057,3.71E-07
6.014925373,1.45,37372.15956,3.65E-07
6.074626866,1.450001,36272.5665,3.67E-07
6.134328358,1.445969,36894.43328,3.49E-07
6.194029851,1.45,35009.00733,3.71E-07
6.253731343,1.45,37884.34072,3.74E-07
6.313432836,1.450001,32334.25112,3.32E-07
6.373134328,1.449998,29395.06066,4.36E-07
6.432835821,1.450018,39709.88814,3.45E-07
6.492537313,1.45,37372.15622,3.65E-07
6.552238806,1.45,33718.69487,3.96E-07
6.611940299,1.449997,37588.09248,3.55E-07
6.671641791,1.453764,36994.32264,3.49E-07
6.731343284,1.452019,39232.58159,3.53E-07
6.791044776,1.45,37372.15733,3.65E-07
6.850746269,1.450001,38491.31108,3.33E-07
6.910447761,1.449999,36170.32038,3.70E-07
6.970149254,1.445918,37319.53351,3.65E-07
7.029850746,1.445918,37319.53351,3.65E-07
7.089552239,1.449982,39205.03914,3.53E-07
7.149253731,1.449993,37271.30333,3.70E-07
7.208955224,1.450024,40005.52149,3.24E-07
7.268656716,1.45,37372.15465,3.65E-07
7.328358209,1.450013,37423.86886,3.46E-07
7.388059701,1.449999,39205.27744,3.53E-07
7.447761194,1.450001,37588.14154,3.55E-07
7.507462687,1.453757,39255.9773,3.53E-07
7.567164179,1.450007,36745.82552,3.51E-07
7.626865672,1.449999,39205.26884,3.53E-07
7.686567164,1.450004,40005.25232,3.24E-07
7.746268657,1.44999,41592.54202,3.20E-07
7.805970149,1.450002,38491.32619,3.33E-07
7.865671642,1.449999,39205.26794,3.53E-07
7.925373134,1.450004,36745.79427,3.51E-07
7.985074627,1.450008,36123.78615,3.66E-07
8.044776119,1.450001,38491.31269,3.33E-07
8.104477612,1.450019,33338.146,3.95E-07
8.164179104,1.449999,39205.27622,3.53E-07
8.223880597,1.449996,41060.25965,3.13E-07
8.28358209,1.449999,38819.24457,3.66E-07
8.343283582,1.449988,37587.98258,3.55E-07
8.402985075,1.453778,38540.18053,3.33E-07
8.462686567,1.450002,41687.58703,3.01E-07
8.52238806,1.446865,41016.34001,3.13E-07
8.582089552,1.450671,41633.43886,3.11E-07
8.641791045,1.449979,36615.9633,3.80E-07
8.701492537,1.450021,39715.39966,3.05E-07
8.76119403,1.449983,42391.87626,3.15E-07
8.820895522,1.450001,38491.31316,3.33E-07
8.880597015,1.450008,38251.84176,3.34E-07
8.940298507,1.450002,38642.90064,3.24E-07
9,1.449999,37743.08087,3.59E-07
9.059701493,1.450004,40005.24486,3.24E-07
9.119402985,1.45,38491.29783,3.33E-07
9.179104478,1.450008,37106.77968,3.67E-07
9.23880597,1.450965,35868.49961,3.72E-07
9.298507463,1.459858,41734.28977,3.20E-07
9.358208955,1.449997,41687.5147,3.01E-07
9.417910448,1.450021,39715.39611,3.05E-07
9.47761194,1.449999,40027.84276,3.03E-07
9.537313433,1.450002,41687.585,3.01E-07
9.597014925,1.446865,41016.33802,3.13E-07
9.656716418,1.450008,38251.84363,3.34E-07
9.71641791,1.449976,43632.02192,3.17E-07
9.776119403,1.45002,40509.74843,3.15E-07
9.835820896,1.449997,41060.26634,3.13E-07
9.895522388,1.449991,35435.64142,3.36E-07
9.955223881,1.450007,41592.77615,3.20E-07
10.01492537,1.450001,42392.13645,3.15E-07
10.07462687,1.450024,40005.52145,3.24E-07
10.13432836,1.449982,42724.12213,2.95E-07
10.19402985,1.450004,43632.44583,3.17E-07
10.25373134,1.458244,39058.8639,2.90E-07
10.31343284,1.450005,40760.40101,3.65E-07
10.37313433,1.450002,41060.33085,3.13E-07
10.43283582,1.450006,43039.86829,3.08E-07
10.49253731,1.449999,38806.32772,3.34E-07
10.55223881,1.445732,41626.19175,3.01E-07
10.6119403,1.449999,36385.8807,4.14E-07
10.67164179,1.456926,38280.83766,3.16E-07
10.73134328,1.450009,42822.73015,2.97E-07
10.79104478,1.449984,41687.32686,3.01E-07
10.85074627,1.449999,38625.64102,3.61E-07
10.91044776,1.449994,41060.22613,3.13E-07
10.97014925,1.450004,41296.83131,3.16E-07
11.02985075,1.449979,39832.66675,2.98E-07
11.08955224,1.447796,41654.54561,3.01E-07
11.14925373,1.450002,43508.00155,2.84E-07
11.20895522,1.449989,34301.6619,3.25E-07
11.26865672,1.450002,41293.92718,3.16E-07
11.32835821,1.449998,39184.90767,3.01E-07
11.3880597,1.442052,42091.07913,3.03E-07
11.44776119,1.447371,41648.44035,3.01E-07
11.50746269,1.442304,39696.45329,3.06E-07
11.56716418,1.449985,42608.18579,3.04E-07
11.62686567,1.450007,43039.86908,3.08E-07
11.68656716,1.449981,41687.28531,3.01E-07
11.74626866,1.449999,39193.17317,3.45E-07
11.80597015,1.447994,45803.74533,3.06E-07
11.86567164,1.449988,39886.86953,3.07E-07
11.92537313,1.450003,43632.44044,3.17E-07
11.98507463,1.441909,42706.71075,2.97E-07
12.04477612,1.449982,41687.29987,3.01E-07
12.10447761,1.444654,42128.45669,3.03E-07
12.1641791,1.450007,40468.97659,3.03E-07
12.2238806,1.449977,37373.7778,3.74E-07
12.28358209,1.444324,45164.0276,2.89E-07
12.34328358,1.449982,39671.95252,3.86E-07
12.40298507,1.449999,40121.16564,3.52E-07
12.46268657,1.450017,40550.40726,2.98E-07
12.52238806,1.450009,42822.7347,2.97E-07
12.58208955,1.450009,42822.7347,2.97E-07
12.64179104,1.449991,38785.33042,3.27E-07
12.70149254,1.450009,42822.73122,2.97E-07
12.76119403,1.45,39711.07052,3.58E-07
12.82089552,1.449996,42724.32358,2.95E-07
12.88059701,1.450007,41438.15158,3.04E-07
12.94029851,1.450048,37266.53936,3.84E-07
13,1.450003,46944.77886,2.61E-07
13.06947891,1.45002,42004.63337,3.14E-07
13.13895782,1.449998,42671.5545,2.90E-07
