Generation,Alpha
160.724749,1.756481
160.8718252,1.432413
161.0189014,2.032894
161.1659776,1
161.3130538,1.692525
161.4601299,1.756893
161.6072061,1.661845
161.7542823,1.756899
161.9013585,1.756893
162.0484347,1.821476
162.1955109,1.523307
162.3425871,2.000584
162.4896633,1.249437
162.6367395,2.032883
162.7838157,1.756481
162.9308919,2.196195
163.0779681,1.29924
163.2250443,1.82982
163.3721205,1.365937
163.5191967,2.03289
163.6662729,1.477904
163.8133491,2.03289
163.9604253,1.579031
164.1075015,2.032885
164.2545777,1.936003
164.4016539,1.469705
164.5487301,2.032892
164.6958063,1.732048
164.8428825,1.612123
164.9899587,1.883221
165.1370348,1.081269
165.284111,1.581191
165.4311872,1.829826
165.5782634,1
165.7253396,1.491356
165.8724158,1.577319
166.019492,1.532166
166.1665682,1.687024
166.3136444,1.686264
166.4607206,1.272714
166.6077968,1.746282
166.754873,1.64564
166.9019492,1.719701
167.0490254,1.695742
167.1961016,1
167.3431778,1.793518
167.490254,1.281361
167.6373302,1.82982
167.7844064,1.927948
167.9314826,1.807054
168.0785588,1
168.225635,1.53714
168.3727112,1.829808
168.5197874,1.577935
168.6668636,1.667802
168.8139398,1.515382
168.9610159,1.537608
169.1080921,1.606042
169.2551683,1.803294
169.4022445,1.515557
169.5493207,1.829821
169.6963969,1.612567
169.8434731,1.803294
169.9905493,1.601046
170.1376255,1.82982
170.2847017,1
170.4317779,1.417077
170.5788541,1.829818
170.7259303,2.097819
170.8730065,1.194238
171.0200827,1.829819
171.1671589,1.663687
171.3142351,1.466057
171.4613113,1.829816
171.6083875,1
171.7554637,1.378978
171.9025399,1.287426
172.0496161,1.699756
172.1966923,1.602065
172.3437685,1.829821
172.4908447,1.586129
172.6379209,1.378977
172.784997,1.829826
172.9320732,1.391874
173.0791494,1.346131
173.2262256,1.60201
173.3733018,1
173.520378,1.829821
173.6674542,1.349852
173.8145304,1.8295
173.9616066,1.479032
174.1086828,1
174.255759,1.829817
174.4028352,1
174.5499114,1
174.6969876,1.428166
174.8440638,1.829818
174.99114,1.610449
175.1382162,1.389699
175.2852924,1.829818
175.4323686,1
175.5794448,1.315222
175.726521,1.829824
175.8735972,1.604927
176.0206734,1.829827
176.1677496,1.679627
176.3148258,1.718725
176.4619019,1.745032
176.6089781,1.960851
176.7560543,1.285237
176.9031305,1.868489
177.0502067,1.441905
177.1972829,1.82982
177.3443591,1
177.4914353,1
177.6385115,1
177.7855877,1.730302
177.9326639,1.773707
178.0797401,1.890998
178.2268163,1.681624
178.3738925,2.008431
178.5209687,1.414123
178.6680449,1.829818
178.8151211,1.580133
178.9621973,1.514959
179.1092735,1.561162
179.2563497,1.868477
179.4034259,1.535123
179.5505021,1.829809
179.6975783,1
179.8446545,1
179.9917307,1.738089
180.1388069,1.816329
180.285883,1
180.4329592,1.773707
180.5800354,1.973169
